run,roc_auc
0,0.9995608690418847
1,0.9996690114843447
2,0.9997382945081525
3,0.9994576084359386
4,0.9998048437035127
5,0.9996809622201313
6,0.9994767061803815
7,0.9998133966810855
8,0.9998531934123481
9,0.9995827006147755
10,0.9995833645445414
11,0.9997431763446667
12,0.9999229841471537
13,0.9995912535923483
14,0.9995778187782615
